Date,Description,Debit,Credit,Balance
01-06-2026,SALARY - ACME CORP,,45000.00,45000.00
02-06-2026,SWIGGY ORDER 12345,320.50,,44679.50
03-06-2026,BIG BAZAAR GROCERY,2145.00,,42534.50
04-06-2026,UBER RIDE 8821,180.00,,42354.50
05-06-2026,AMAZON IN ORDER,1299.00,,41055.50
06-06-2026,ELECTRIC BILL BESCOM,1500.00,,39555.50
08-06-2026,NETFLIX SUBSCRIPTION,649.00,,38906.50
10-06-2026,REFUND FLIPKART,,450.00,39356.50
12-06-2026,ZOMATO FOOD,540.00,,38816.50
15-06-2026,RENT TRANSFER LANDLORD,12000.00,,26816.50
18-06-2026,IRCTC TRAIN TICKET,890.00,,25926.50
20-06-2026,APOLLO PHARMACY,320.00,,25606.50
22-06-2026,OLA CAB 5521,210.00,,25396.50
25-06-2026,SIP MUTUAL FUND,2000.00,,23396.50
28-06-2026,REL JIO RECHARGE,599.00,,22797.50
30-06-2026,INTEREST CREDITED,,150.00,22947.50
